wavelength,flux
6500.636087000001,15579976499.999998
6500.640313,15462239300.0
6500.644539,15327262800.000002
6500.648765,15172748400.0
6500.652990999999,14996890200.0
6500.657216,14797718100.0
6500.6614420000005,14573754300.0
6500.665668000001,14324013800.0
6500.669894000001,14048496800.000002
6500.67412,13748024300.0
6500.678346,13424566500.0
6500.682572,13081571400.0
6500.686798000001,12723800400.0
6500.691024,12357656700.0
6500.695249,11990200200.0
6500.699475,11629804500.0
6500.703701,11284678500.0
6500.7079269999995,10963524000.0
6500.7121529999995,10674221800.000002
6500.716379,10423995700.0
6500.720605,10218920500.0
6500.7248309999995,10063593200.0
6500.729057,9961625600.0
6500.733283,9915316100.0
6500.7375090000005,9925321200.0
6500.7417350000005,9991805000.0
6500.7459610000005,10112961400.0
6500.750187,10286491499.999998
6500.754413,10508290800.0
6500.758639,10773269300.0
6500.762865000001,11074695600.0
6500.767091,11405345600.0
6500.771317,11756681700.0
6500.775543,12120494900.0
6500.779769,12488247700.0
6500.783995000001,12852059400.0
6500.788221000001,13204870300.0
6500.792447,13541262400.0
6500.796673,13856474600.0
6500.800899,14148044300.0
6500.805125000001,14414001299.999998
6500.809351,14654181600.0
6500.813577,14868749500.0
6500.817803,15059018300.0
6500.822029,15226630100.0
6500.826255,15373390800.0
6500.830481000001,15501434800.0
6500.834707,15612732300.0
6500.838933,15709253500.0
6500.843159,15792804500.0
6500.847386,15865027000.0
6500.851612,15927562800.0
6500.8558379999995,15981397100.000002
6500.8600639999995,16027843300.0
6500.8642899999995,16068050700.0
6500.868516,16102511700.0
6500.8727420000005,16132375800.0
6500.8769680000005,16157807000.0
6500.881194,16179790400.0
6500.885421000001,16198326100.0
6500.889647,16214070700.0
6500.893873,16227188500.0
6500.898099,16238007800.0
6500.902324999999,16246856999.999998
6500.906551,16253736000.0
6500.9107779999995,16258809100.0
6500.9150039999995,16262404600.0
6500.9192299999995,16264358400.0
6500.923456,16264998700.0
6500.9276820000005,16264325700.0
6500.931909,16262503400.0
6500.936135,16259531900.0
6500.940361000001,16255411099.999998
6500.944587,16250633699.999998
6500.948813999999,16244871299.999998
6500.95304,16238452100.0
6500.957266,16231376300.0
6500.961492,16223972200.0
6500.965719,16216075500.0
6500.969945000001,16208014700.0
6500.974171,16199953900.0
6500.978397,16192057300.0
6500.982623999999,16184160700.000002
6500.98685,16176756699.999998
6500.991076,16169845100.0
6500.995302,16163754500.0
6500.999529,16158156400.000002
6501.003755000001,16153543300.0
6501.007981000001,16149915300.0
6501.012208,16147272300.0
6501.016433999999,16145778500.0
6501.02066,16145433900.0
6501.024887,16146238500.0
6501.029113,16148356500.0
6501.0333390000005,16151459500.0
6501.037566,16155711700.0
6501.041792,16160948900.0
6501.046017999999,16167171100.0
6501.050245,16174214100.0
6501.0544709999995,16182078000.0
6501.0586969999995,16190598600.0
6501.062924,16199611599.999998
6501.06715,16209117099.999998
6501.071376999999,16218786800.0
6501.075603,16228620700.0
6501.079829,16238454500.0
6501.084056,16248288300.0
6501.088282,16257793700.0
6501.092509,16267134900.0
6501.096735,16275983700.0
6501.100961,16284504000.0
6501.105188,16292367699.999998
6501.1094140000005,16299738900.0
6501.113641,16306453400.0
6501.117867000001,16312511100.0
6501.122094,16318076399.999998
6501.126319999999,16322820900.0
6501.130547000001,16326908600.0
6501.134773,16330339700.0
6501.138999999999,16333278200.000002
6501.143226,16335396000.0
6501.147453,16337021200.0
6501.151679,16337989799.999998
6501.155906,16338301600.0
6501.160132,16338121000.000002
6501.164359,16337447900.0
6501.168585,16336118200.0
6501.172812,16334295900.0
6501.177038,16331981100.0
6501.181265,16329009699.999998
6501.185491,16325545800.0
6501.1897180000005,16321589500.0
6501.193944000001,16316976400.0
6501.198171,16311706700.0
6501.202396999999,16305780400.0
6501.206624,16299197400.0
6501.210851,16291957800.0
6501.215077000001,16283897400.0
6501.219304,16274852000.0
6501.223529999999,16264985800.0
6501.227757000001,16253970499.999998
6501.231984,16241806100.0
6501.236209999999,16228328400.0
6501.240437,16213537400.0
6501.2446629999995,16197104800.0
6501.248890000001,16178866500.0
6501.253117,16158494100.0
6501.257342999999,16135987600.0
6501.261570000001,16111018700.0
6501.265797,16082930900.0
6501.270022999999,16051724000.0
6501.27425,16016905600.0
6501.2784759999995,15977819100.0
6501.282703000001,15933972000.0
6501.28693,15884707600.0
6501.291155999999,15829369499.999998
6501.295383000001,15767136600.0
6501.29961,15697024300.0
6501.303837,15618047400.0
6501.308063,15529056800.0
6501.31229,15428575300.0
6501.316517,15315289500.0
6501.320743,15187886200.0
6501.32497,15044395500.0
6501.329197,14883340100.0
6501.3334239999995,14702750100.0
6501.33765,14501148000.0
6501.341877,14276728299.999998
6501.346104,14028013600.0
6501.350331,13753854800.0
6501.354557,13453595400.0
6501.358784,13126907100.0
6501.3630109999995,12774610800.0
